                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3481,                 4.1059,                 1.7813,                0.03203,                0.10324,                0.02693,                0.01187,                   2.11,                 3.9045,                 1.4624,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                 2.0864,                 3.9031,                 1.5756,                0.03626,                0.12487,                0.04875,                 0.0217,                 2.2108,                 3.9229,                 1.5508,              9.801e-05,              9.801e-05,              9.801e-05
                      3,                 1.9959,                 3.5184,                 1.4547,                0.03657,                  0.141,                0.07364,                 0.0328,                 2.2188,                 3.8733,                 1.5701,             0.00014938,             0.00014938,             0.00014938
                      4,                 1.9504,                 3.0405,                 1.3549,                0.05445,                0.23494,                0.10266,                0.04127,                 2.1296,                 3.7393,                 1.4999,             0.00019855,             0.00019855,             0.00019855
                      5,                 1.9559,                 2.7924,                 1.3681,                0.08174,                0.35907,                0.18783,                0.06601,                 2.1148,                 3.6024,                 1.4952,             0.00024552,             0.00024552,             0.00024552
                      6,                 1.9208,                 2.6559,                 1.3364,                0.09074,                0.38254,                0.20669,                0.07253,                 2.0648,                  3.534,                 1.4677,             0.00029029,             0.00029029,             0.00029029
                      7,                 1.8949,                 2.4933,                 1.3251,                0.09797,                 0.4082,                0.20397,                0.07359,                 2.1119,                 3.4305,                 1.4871,             0.00033286,             0.00033286,             0.00033286
                      8,                 1.8628,                  2.409,                 1.3227,                0.10218,                0.38768,                0.19373,                0.06303,                 2.2284,                 3.4336,                 1.5864,             0.00037324,             0.00037324,             0.00037324
                      9,                 1.9007,                   2.29,                 1.3353,                0.20684,                0.29621,                0.18966,                 0.0641,                  2.214,                 3.3878,                 1.5985,             0.00041141,             0.00041141,             0.00041141
                     10,                 1.8782,                 2.1852,                 1.3253,                0.48896,                0.18374,                0.18041,                0.05779,                  2.278,                 3.4404,                 1.6793,             0.00044738,             0.00044738,             0.00044738
                     11,                 1.8676,                 2.1255,                 1.3387,                0.49997,                0.13626,                0.16375,                0.05056,                 2.3609,                 3.3694,                 1.7506,             0.00048115,             0.00048115,             0.00048115
                     12,                 1.8461,                 2.0478,                 1.3476,                0.35035,                0.22744,                0.22988,                0.08123,                 2.2612,                 2.9421,                 1.6459,             0.00051272,             0.00051272,             0.00051272
                     13,                 1.8409,                 2.0071,                  1.322,                0.33865,                0.28572,                 0.2503,                0.08952,                 2.2724,                 2.7854,                  1.657,              0.0005421,              0.0005421,              0.0005421
                     14,                 1.8453,                 1.9209,                 1.3395,                0.32478,                0.33743,                0.27765,                0.09727,                  2.256,                 2.6024,                 1.6254,             0.00056927,             0.00056927,             0.00056927
                     15,                 1.8725,                 1.8801,                 1.3329,                0.35549,                0.34152,                 0.2854,                0.09911,                  2.264,                  2.537,                 1.6533,             0.00059424,             0.00059424,             0.00059424
                     16,                 1.7926,                 1.8067,                 1.3259,                0.34581,                0.32243,                0.27607,                0.09303,                  2.353,                 2.4379,                 1.7506,             0.00061702,             0.00061702,             0.00061702
                     17,                 1.7941,                  1.758,                 1.3419,                0.35562,                0.35091,                0.29702,                 0.1047,                 2.3051,                  2.298,                 1.7264,             0.00063759,             0.00063759,             0.00063759
                     18,                 1.7636,                 1.7024,                 1.3094,                0.36146,                0.40636,                0.32263,                0.11968,                 2.2614,                 2.1651,                 1.6879,             0.00065596,             0.00065596,             0.00065596
                     19,                 1.7846,                 1.6946,                 1.3393,                0.35025,                0.42092,                0.33465,                0.12603,                 2.2654,                 2.0774,                 1.6867,             0.00067214,             0.00067214,             0.00067214
                     20,                 1.8044,                 1.6751,                 1.3499,                 0.3099,                0.40337,                0.30305,                0.11067,                 2.2847,                 2.0497,                 1.7502,             0.00068611,             0.00068611,             0.00068611
                     21,                  1.777,                 1.6641,                 1.3402,                0.29142,                0.40418,                0.28043,                0.10059,                  2.322,                 2.0998,                 1.7811,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.7783,                 1.6423,                 1.3411,                   0.29,                0.36245,                0.27668,                0.09927,                 2.3379,                 2.0859,                  1.813,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.7606,                 1.6035,                 1.3102,                0.32549,                0.38361,                0.29361,                0.10586,                 2.3331,                 2.0177,                 1.8182,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.7085,                 1.5699,                  1.333,                 0.3763,                0.39398,                0.30996,                0.10958,                 2.2918,                 1.9731,                 1.7914,             0.00062705,             0.00062705,             0.00062705
                     25,                  1.831,                 1.5843,                 1.3324,                0.37414,                0.37363,                0.29947,                0.10544,                 2.3235,                 2.0486,                 1.7958,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.7241,                 1.5556,                 1.3148,                0.38518,                0.35832,                0.30203,                 0.1057,                 2.2989,                 2.0489,                  1.783,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.7094,                  1.547,                 1.3133,                0.39912,                 0.3344,                0.30029,                0.10735,                  2.252,                 1.9772,                  1.765,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.6864,                 1.5018,                 1.3212,                0.41328,                0.30457,                0.29346,                0.10079,                 2.3008,                 1.9883,                 1.8012,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.6895,                 1.4903,                 1.3004,                0.39724,                0.29585,                0.28618,                0.09734,                 2.2838,                 2.0472,                 1.7631,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.6867,                 1.4854,                 1.2899,                0.38915,                0.29191,                0.28275,                0.09364,                 2.3082,                   2.05,                 1.7573,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.7341,                 1.4787,                 1.3221,                 0.3839,                 0.3146,                0.28613,                0.09486,                 2.3183,                 2.0129,                 1.7642,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.6697,                 1.4544,                 1.2738,                0.42058,                0.32846,                0.28928,                0.09937,                 2.3071,                 1.9905,                 1.7756,             0.00045107,             0.00045107,             0.00045107
                     33,                 1.6917,                  1.455,                 1.2842,                0.37962,                0.33168,                0.29235,                0.09894,                 2.3063,                 1.9958,                 1.7552,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.6872,                 1.4248,                 1.3006,                0.37685,                0.34232,                 0.2969,                0.09709,                 2.2949,                 2.0319,                 1.7353,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.6687,                 1.4184,                 1.2976,                0.36189,                0.33725,                0.29974,                0.09637,                 2.2929,                 2.0477,                 1.7363,             0.00038507,             0.00038507,             0.00038507
                     36,                 1.6823,                  1.432,                 1.2486,                0.35553,                0.31567,                0.29289,                0.09242,                  2.317,                 2.0544,                 1.7355,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.7129,                  1.414,                 1.2929,                 0.3548,                0.32344,                0.29588,                0.09463,                 2.3183,                 2.0281,                 1.7438,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.6874,                 1.4269,                 1.2945,                0.35047,                0.31945,                0.29843,                 0.0973,                 2.3341,                 2.0058,                 1.7772,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.7069,                 1.4085,                 1.2985,                0.35024,                0.31483,                0.29669,                0.09842,                 2.3653,                 2.0015,                 1.8294,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.7326,                 1.4021,                 1.2994,                 0.3559,                0.33294,                0.31631,                0.10348,                 2.3556,                 2.0018,                   1.83,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.6703,                 1.7208,                   1.31,                0.37215,                0.32913,                0.31832,                0.10406,                  2.339,                 1.9895,                 1.8279,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.6839,                 1.5817,                 1.3409,                 0.3782,                0.32624,                0.31736,                0.10382,                 2.3276,                 1.9852,                 1.8351,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.6549,                  1.529,                 1.3381,                0.36614,                0.32429,                0.31323,                0.10302,                 2.3223,                  1.987,                 1.8529,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.6307,                 1.5091,                 1.3044,                0.37308,                0.32583,                0.31338,                0.10294,                  2.281,                  1.979,                   1.84,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.6309,                 1.4587,                 1.3049,                0.36482,                0.33693,                0.31524,                 0.1045,                 2.2584,                 1.9938,                 1.8138,             0.00016509,             0.00016509,             0.00016509
                     46,                 1.6206,                 1.4583,                 1.3035,                0.34873,                0.35447,                0.31619,                 0.1054,                 2.2368,                 2.0031,                 1.7867,              0.0001431,              0.0001431,              0.0001431
                     47,                 1.6236,                 1.4438,                 1.3127,                0.35044,                0.36068,                0.31602,                0.10677,                 2.2354,                 2.0051,                  1.779,              0.0001211,              0.0001211,              0.0001211
                     48,                 1.5941,                 1.4067,                 1.2962,                0.34386,                0.36333,                0.31393,                0.10641,                 2.2334,                  1.997,                 1.7784,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                  1.602,                  1.409,                 1.3092,                0.34416,                0.36061,                0.31416,                0.10637,                 2.2344,                 2.0005,                 1.7738,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                 1.5837,                 1.3783,                 1.2801,                0.34915,                0.35919,                0.31144,                0.10605,                 2.2374,                 2.0083,                 1.7712,             5.5106e-05,             5.5106e-05,             5.5106e-05
